# https://www.nature.com/articles/134771a0
# https://en.wikipedia.org/wiki/Speed_of_light#Measurement
# [1] https://archive.org/details/velocityoflightr0000froo/page/10/mode/
# [2] https://www.nature.com/articles/134771a0
# [3] https://micro.magnet.fsu.edu/primer/lightandcolor/speedoflight.html
# [4] https://doi.org/10.1103/PhysRevLett.29.1346
# [5] https://www.nature.com/articles/251046a0
# [6] https://shs.cairn.info/journal-l-annee-sociologique-2013-2-page-359?lang=en
year,author,value,uncertainty,ref
# 1667,Galileo,333.5, (LOWER BOUND)
1676,Roemer,220000,, [1]
# 1690,Huygens,230000,, [6] (LOWER BOUND)
1693,Cassini,352000,, [6]
1694,Halley,293300,, [6]
1704,Newton,311660,, [6]
# 1713,Newton,311660,, [6]
1726,Bradley,301000,, [1]
# 1729,Bradley,304440,10000, [6]
1731,Maraldi,276000,, [6]
# 1741,Wargentin,230000,, [6]
1751,Martin,303440,, [6]
1770,Price,304060,, [6]
# 1771,E-Britannica,302220,, [6]
1778,Bode,306870,, [6]
1785,Boscovich,307810,, [6]
1809,Delambre,303320,, [6]
1834,Wheatstone,402336,, [3]
# 1838,Arago,308300,, [6]
1841,Lindenau,300038,470, [6]
1842,Lundahl+Eklöf,299174,630, [6]
1842,Struve,299715,200, [6]
1843,Struve,300096,165, [6]
1844,Lindhagen+Schweizer,299760,180, [6]
1847,Struve,299950,235, [6]
1848,Peters,299570,190, [6]
1849,Fizeau,315000,, [1;6]
1857,Weber+Kohlrausch,310800,, [1;6]
1862,Foucault,298000,500, [1;6]
1867,Newcomb,299870,, [6]
1868,Maxwell,284300,, [1]
1869,Thomson+King,280900,, [1]
1870,Gyldén,301050,, [6]
1872,Cornu,298500,900, [1]
1873,Nyrén+Peters,299800,190, [6]
1874,McKichan,289700,, [1]
1874,Cornu,300400,800, [1]
1874,Glasena,300050,60, [6]
1874.8,Cornu-Helmert,299990,200, [2]
1875,Nyrén,299580,, [6]
# 1875,Siemens,260000, (WIRE WAVE-NOT LIGHT)
1878,Michelson,300140,700, [1]
1879,Ayrton+Perry,296100,, [1]
1879,Nyrén+Wagner,299980,50, [6]
1879.5,Michelson,299910,50, [2]
1880,Shida,295600,, [1]
1880,Nyrén,299440,, [6]
1882,Young+Forbes,301382,, [6]
1882,Newcomb,299810,30, [1]
1882,Nyrén,299480,130, [6]
1882.8,Michelson,299853,60, [2;6]
1883,Nyrén,299850,90, [6]
1883,ThomsonJJ,296400,, [1]
1884,Klemencic,302000,, [1]
1888,Hertz,300000,, [3]
# 1888,Hertz,319000,, [6]
1888,Himstedt,301000,, [1]
1889,FitzGerald+Trouton,300000,, [6]
1889,ThomsonW,300500,, [1]
1889,Rosa,300090,, [1]
1890,ThomsonJJ+Searle,299690,, [1]
1890,Küstner,299870,260, [6]
1890,Rowland,301800,, [3]
1891,Comstock,300560,170, [6]
1891,Pellat,301010,, [1]
1891,Blondlot,297600,, [1]
1892,Abraham,299220,, [1]
1892,Marcuse,299640,130, [6]
1892,Chandler,299630,170, [6]
