# ratio of mass of oxygen to mass of hydrogen
# Data taken from "A Recalculation of the Atomic Weights", Clarke, 1910, pg. 29
# true value: 15.999/1.0080=15.87202381
# Uncertainties given are PROBABLE ERROR, not 1sigma!!!
# Under Normal assumption, can convert prob. err. to 1sigma by dividing
# by 0.6745 (see pg. 9)
# Clarke aggregated to 15.8779 with proberr 0.00016
year,author,value,proberr
1842,Erdmann+Marchand,15.975,0.0113
1842,Dumas,15.9607,0.0070
1888,Keiser,15.9514,0.0011
1870,Thomsen,15.91,0.0113
1890,Noyes,15.8966,0.0017
1821,Dulong+Berzelius,15.894,0.0570
1889,Rayleigh,15.89,0.0090
1892,Leduc,15.881,0.0132
1898,Keiser,15.8799,0.0046
1895,Morley,15.8790,0.00028
1907,Noyes,15.8745,0.00021
1887,Cooke+Richards,15.8690,0.0020
1895,Thomsen,15.8690,0.0022
1890,Dittmar+Henderson,15.8677,0.0046
1887,Keiser,15.864,0.0150
