# $\omega(782)$ mass
# $\mathrm{[MeV]}$
# RPP 2024 "ground truth" value: 782.66
# 1sigma: 0.13
# PDG ID: M001M
# RPP aug. 1970 pg. 45
year,author,value,uncertainty
1962,ALFF,782.0,1.0
1962,ARMENTERO,779.4,1.4
1963,ARMENTERO,784.0,1.0
1964,KRAEMER,781.0,2.0
1965,MILLER D,785.6,1.2
1966,JAMES,786.0,1.0
1967,BALTAY,783.4,0.7
1967,BARASH,779.5,1.5
1968,KEY,784.8,1.1
1969,BIZZARRI,782.4,0.5
1969,DANBURG,784,1
1969,DANBURG,786,1
1969,DANBURG,784,1
1969,DANBURG,786,1
1969,DANBURG,785,1
1969,DANBURG,785,2
1970,ABRAMOVIC,784.1,1.2
1970,ATHERTON,784.0,0.7
1970,BIGGS,783.2,1.6
