# $f_2(1270)$ mass
# $\mathrm{[MeV]}$
# RPP 2024 "ground truth" value: 1275.4
# 1sigma: 0.8
# PDG ID: M005M
# RPP aug. 1970 pg. 59
year,author,value,uncertainty
1962,SELOVE,1250.0,25.0
1963,VEILLET,1260.0,35.0
1966,ACCENSI,1240.0,20.0
1966,JACOBS,1267.0,10.0
1966,WAHLIG,1275.0,25.0
# 1967,BARLOW,1255,13
# 1967,EISNER,1271,9
# 1967,EISNER,1261,7
# 1967,POIRIER,1262,7
# 1967,RABIN,1276,11
1968,ARMENISE,1261,4
1968,ARMENISE,1270,5
# 1968,BOESEBECK,1265,8
1968,FOSTER,1241,38
1968,LAMSA,1267,15
1968,JOHNSON,1268.0,6.0
# 1968,WHITEHEAD,1270.0,15.0
1969,ARMENISE,1269.0,21.0
1969,DONALD,1255.0,10.0
