# $f_2(1270)$ width
# $\mathrm{[MeV]}$
# RPP 2024 "ground truth" value: 186.6
# 1sigma: 2.5
# PDG ID: M005M
# RPP aug. 1970 pg. 59
# PDG USES FIT
year,author,value,uncertainty
1962,SELOVE,100.0,25.0
# 1964,LEE,130.0,20.0
1966,ACCENSI,102.0,46.0
1966,JACOBS,99.0,10.0
# 1967,BARLOW,82,34
# 1967,EISNER,219,39
# 1967,EISNER,173,25
# 1967,POIRIER,163.0,16.0
# 1967,RABIN,155,17
# 1968,ARMENISE,216,13
# 1968,BOESEBECK,188,15
1968,FOSTER,172,49
1968,LAMSA,113,30
# 1968,JOHNSON,176,13
1968,WHITEHEAD,160,20
1969,ARMENISE,216,60
1969,DONALD,150,30
