# $K^\star(892)$ (charged) mass
# $\mathrm{[MeV]}$
# RPP 2024 "ground truth" value: 891.67
# 1sigma: 0.26
# PDG ID: M018M2
# RPP aug. 1970 pg. 73
year,author,value,uncertainty
1963,CHADWICK,898.0,5.0
# 1964,WOJCICKI,891.0,1.0
1964,ADELMAN,889.5,2.5
1965,FERRO-LUZ,891.0,3.0
1965,GELSEMA,895.0,3.0
1967,BOMSE,895,3
# 1967,DE BAERE,891,2
# 1967,DE BAERE,892.5,2.5
1967,SALLSTROM,898,4
1967,SALLSTROM,883,5
# 1967,BARLOW,890,2
# 1967,BARLOW,889,3
1967,CONFORTO,896.0,5.0
1968,ADERHOLZ,893,4
1968,FICENEC,891,4
1968,FICENEC,887,3
1968,FICENEC,890.0,5.0
1968,FICENEC,892.0,3.0
1968,SCHWEINGR,896.0,4.0
1968,SCHWEINGR,892.0,2.0
1968,KANG,884.0,5.0
# 1969,CRENNELL,891.0,2.0
1969,ERWIN,892.0,3.0
1969,FRIEDMAN,894,1
1969,FRIEDMAN,892,2
1969,FRIEDMAN,892,1
1969,FRIEDMAN,892,1
1969,LIND,895,2
