# $K^\star(892)$ (neutral) mass
# $\mathrm{[MeV]}$
# RPP 2024 "ground truth" value: 895.55
# 1sigma: 0.20
# PDG ID: M018M2
# RPP aug. 1970 pg. 73
year,author,value,uncertainty
1962,COLLEY,897.0,10.0
1963,KRAEMER,892.0,2.0
# 1963,SMITH,885.0,
1967,BARLOW,899,4
1967,BARLOW,897,4
1967,CONFORTO,889.0,5.0
# 1967,DAUBER,894.7,1.3
1967,GEORGE,892.0,4.0
1968,DE WIT,893,3
1968,FICENEC,895,4
1968,FICENEC,901,4
1968,SCHWEINGR,896.0,4.0
1968,SCHWEINGR,903.0,4.0
1968,KANG,899.0,5.0
# 1969,DAVIS,893.7,2.0
1969,DE BAERE,890.0,1.25
# 1970,HABER,895.0,1.0
