# $K^\star(892)$ (charged) mass
# $\mathrm{[MeV]}$
# RPP 2024 "ground truth" value: 51.4
# 1sigma: 0.8
# PDG ID: M018M2
# RPP aug. 1970 pg. 73
year,author,value,uncertainty
1963,CHADWICK,46.0,8.0
# 1964,WOJCICKI,46.0,3.0
1964,ADELMAN,51.0,3.0
1965,FERRO-LUZ,47.0,4.0
1965,GELSEMA,50.0,15.0
1967,BOMSE,50,5
1967,DE BAERE,56,4.0
1967,DE BAERE,53,8
1967,SALLSTROM,68,10
1967,SALLSTROM,47,10
1967,BARLOW,44,7
1967,BARLOW,43,9
1967,BARLOW,53,7
1968,ADERHOLZ,58,7
1968,FICENEC,58,16
1968,FICENEC,44,13
1968,SCHWEINGR,41.0,8.0
1968,SCHWEINGR,47.0,4.0
1968,FICENEC,57.0,13.0
1968,FICENEC,48.0,9.0
1968,KANG,52.0,8.0
1969,ERWIN,27.0,7.0
1969,FRIEDMAN,53,3
1969,FRIEDMAN,49,4
1969,FRIEDMAN,46,2
1969,FRIEDMAN,49,3
1969,LIND,50,7
