# $K^\star(892)$ (neutral) width
# $\mathrm{[MeV]}$
# RPP 2024 "ground truth" value: 47.3
# 1sigma: 0.5
# PDG ID: M018M2
# RPP aug. 1970 pg. 76
year,author,value,uncertainty
1962,COLLEY,60.0,10.0
1963,KRAEMER,50.0,5.0
# 1963,SMITH,50.0,
1967,BARLOW,53,13
1967,BARLOW,34,8
# 1967,CONFORTO,43,
# 1967,DAUBER,44,4
1968,DE WIT,58,8
1968,FICENEC,52,12
1968,FICENEC,50.0,8.0
1968,KANG,48.0,8.0
1968,SCHWEINGR,51.0,11.0
1968,SCHWEINGR,53.0,11.0
# 1969,DAVIS,53.2,1.6
1969,DE BAERE,58.0,5.0
# 1970,HABER,53.0,3.0
