# $\Sigma^+$ mean lifetime
# $\mathrm{[10^{-10}s]}$
# RPP 2024 "ground truth" value: 0.8018
# 1sigma: 0.0026
# PDG ID: S019T
# RPP aug. 1970 pg: 38
year,author,value,error_p,error_n
1960,PUSCHEL,0.98,0.16,0.12
1960,EVANS,0.82,0.34,0.20
1960,FREDEN,0.85,0.14,0.11
1960,KAPLON,0.80,0.10,0.067
1961,CHIESA,0.76,0.22,0.14
1961,BERTHELOT,0.75,0.13,0.09
1961,BARKAS,0.82,0.10,0.08
1962,GRARD,0.749,0.056,0.052
1962,HUMPHREY,0.765,0.04,0.04
1964,BHOWMIK,0.84,0.12,0.08
1965,BALTAY,0.84,0.09
1965,CARAYAN,0.76,0.03
# 1966,CHANG,0.83,0.032
# 1966,CHIEN,0.86,0.15
# 1966,CHIEN,1.10,0.24
1966,COOK,0.80,0.07
# 1969,BARCLUTAU,0.803,0.008
